"";"classe 1";"classe 2";"classe 3";"classe 4"
"análise";0;0,037;0;0,103
"recurso";0;0;0;0
"justiça_eleitoral";0,003;0,181;0;0
"documento";0;0;0;0
"poder_econômico";0;0;0;0
"eletrônico";0;0;0,002;0
"ver";0,018;0,579;0,001;0
"preliminar";0;0;0;0
"juiz";0;0;0,027;0
"tribunal";0;0;0;0
"legitimidade";0;0;0;0
"tratar";0,873;0;0,575;0
"presente";0;0,001;0,017;0,005
"demonstrar";0;0,502;0;0,003
"corte";0;0;0;0
"necessário";0;0;0;0
"causa";0;0;0;0
"até";0;0,002;0;0
"votação";0;0;0,116;0
"jair_messias_bolsonaro";0;0;0;0
"disparo";0;0;0,003;0,003
"querer";0;0;0;0
"razão";0;0;0;0,049
"df";0,053;0;0,041;0
"whatsapp";0,481;0,005;0,379;0,184
"ponto";0;0,001;0,006;0
"novo";0;0,018;0;0
"apresentar";0,003;0,246;0;0
"termo";0;0;0,001;0
"urna";0;0;0;0
"lc";0,165;0;0;0
"entender";0;0;0;0,02
"eleitor";0;0;0,039;0,052
"polícia";0;0;0;0
"considerar";0;0;0;0
"muito";0;0,002;0;0
"eminente";0;0;0;0
"falso";0;0;0,001;0
"questão";0;0;0,926;0
"matéria";0;0,095;0;0
"partir";0;0;0,001;0,923
"além";0,144;0,638;0,005;0
"testemunha";0,451;0;0;0
"demanda";0;0;0;0
"possível";0;0,412;0,764;0,005
"circunstância";0;0;0;0
"base";0;0,082;0;0,116
"alegação";0;0;0;0
"saber";0;0,002;0;0
"massa";0,066;0,001;0,004;0
"produzir";0;0,83;0,009;0
"inicial";0;0;0;0
"contexto";0,034;0;0;0,001
"abusivo";0;0;0;0
"advogado";0,058;0,106;0;0
"seguinte";0,149;0,001;0,791;0
"afirmar";0;0,005;0;0,001
"conclusão";0;0;0,878;0,048
"juízo";0;0;0,001;0,049
"exercício";0,627;0,001;0;0
"processo_eleitoral";0;0;0;0
"instrução";0;0;0;0
"candidatura";0;0;0;0
"democrático";0;0,119;0;0
"grave";0;0,102;0,008;0
"permitir";0,039;0,006;0,032;0,002
"momento";0,856;0;0,308;0
"finalidade";0;0,787;0;0
"interesse";0;0,003;0,009;0,229
"comunicação";0;0;0;0,306
"redes_sociais";0;0;0;0
"manifestação";0,016;0,003;0;0
"existência";0;0,024;0,001;0,864
"ano";0;0,158;0;0,565
"utilizar";0;0;0,015;0,002
"deputado";0;0;0;0
"acompanhar";0;0;0,717;0
"rede";0;0;0;0
"internet";0;0;0;0,114
"geral";0;0,977;0;0,25
"país";0;0;0;0
"inelegibilidade";0;0;0;0
"inclusive";0,321;0,001;0,803;0,047
"comprovar";0;0;0,001;0,012
"tema";0,002;0;0,001;0
"hipótese";0,102;0;0;0
"efeito";0;0,565;0;0,656
"liberdade";0;0,275;0;0
"investigação";0;0;0;0,002
"medida";0;0;0;0,849
"referido";0,148;0,233;0,014;0,01
"brasileiro";0;0;0;0
"final";0;0;0,767;0
"normalidade";0;0;0;0
"indício";0;0;0,872;0,916
"civil";0;0;0;0
"vista";0;0,032;0;0,001
"objeto";0;0,024;0,192;0
"suficiente";0,026;0;0;0
"digital";0;0;0,698;0,015
"democracia";0;0;0,493;0,002
"princípio";0;0;0;0
"judicial";0;0;0;0,057
"fundamento";0;0;0;0,65
"tese";0;0,011;0;0,05
"linha";0;0,013;0,518;0,422
"mérito";0;0;0;0
"utilização";0;0,145;0;0
"trazer";0;0,041;0,006;0
"diverso";0,246;0;0;0,001
"constitucional";0;0;0;0
"alexandre_de_moraes";0;0;0,001;0,048
"produção";0;0;0;0
"levar";0,347;0,012;0,499;0
"especial";0;0;0,005;0
"notícia";0;0;0,478;0
"representante";0,855;0,001;0,048;0,059
"poder_político";0;0;0;0
"acesso";0;0,022;0;0
"embaixador";0;0;0,492;0
"cassação";0;0;0;0
"ataque";0;0;0,095;0
"petição_inicial";0;0,441;0;0
"eventual";0;0;0;0
"aspecto";0,261;0;0;0
"fraude";0;0;0;0
"concluir";0,008;0,009;0,692;0,595
"só";0;0,001;0;0
"material";0,079;0,003;0,207;0,024
"respe";0;0;0;0
"tempo";0,27;0,001;0;0
"c";0,89;0;0,961;0
"justiça";0,142;0;0;0,001
"concreto";0,032;0;0;0
"grupo";0;0;0;0
"mandato";0;0;0;0
"apuração";0;0,226;0;0,064
"parecer";0;0,084;0,307;0
"ficar";0;0,209;0;0,011
"cargo";0;0;0,004;0
"ocorrência";0,142;0;0;0
"expor";0;0,253;0;0,029
"determinado";0,277;0;0,001;0
"amplo";0;0,209;0;0
"chefe";0;0;0,002;0
"dado";0,004;0,083;0;0
"relevante";0;0,064;0;0,316
"jair_bolsonaro";0;0;0,001;0
"revelar";0;0;0;0,006
"disputa";0;0,005;0;0
"partido";0;0,507;0,206;0
"tribunal_superior_eleitoral";0;0;0;0,054
"tender";0;0,469;0,002;0,021
"registro";0;0,002;0,134;0
"menos";0,034;0;0,113;0,867
"serviço";0,015;0;0,572;0,029
"exame";0;0;0;0,208
"ação_de_investigação_judicial_eleitoral";0;0;0;0
"suposto";0,032;0,26;0,01;0,235
"condição";0;0,304;0,001;0
"excelência";0;0;0;0
"propaganda_eleitoral";0;0,002;0;0
"bolsonaro";0;0;0,002;0
"presidencial";0,626;0,003;0,001;0,648
"precedente";0,211;0;0;0
"observar";0;0,123;0,004;0,048
"indicar";0;0,219;0,054;0,003
"força";0;0,011;0;0
"política";0;0;0,593;0,029
"desvio";0;0,009;0;0
"atuação";0,393;0;0,034;0,242
"constituição";0,007;0;0,006;0
"participação";0,02;0,238;0,04;0
"jurisprudência";0,046;0;0;0
"coligação";0;0,025;0,004;0,42
"verdade";0,129;0,008;0;0
"destaque";0,458;0,014;0;0
"vir";0,047;0,133;0;0
"diante";0,007;0,421;0,077;0,608
"agora";0;0;0;0
"propaganda";0;0;0;0
"live";0;0,005;0;0
"pessoal";0;0,003;0,503;0,004
"legal";0;0;0;0
"realização";0,004;0;0;0,032
"período";0;0;0;0,764
"contar";0,648;0,214;0,007;0,001
"conjunto";0;0;0;0,782
"marco";0,001;0,047;0,046;0,001
"conhecimento";0;0,403;0,841;0
"paulo";0,053;0,602;0;0,144
"caracterizar";0;0;0;0
"ausência";0;0;0;0,124
"teor";0,82;0;0;0,123
"possibilidade";0,024;0;0,134;0,001
"dentro";0;0,002;0;0
"sigilo";0;0;0,019;0
"segurança";0,157;0,306;0;0
"debate";0,518;0;0,314;0
"tudo";0;0,588;0;0
"proferido";0;0,006;0;0
"facebook";0;0;0;0
"prever";0,519;0;0;0
"autoridade";0;0,394;0,395;0
"verificar";0,01;0,003;0;0
"conta";0,015;0,791;0,062;0,231
"benefício";0;0,216;0;0
"superior";0;0;0;0
"lado";0,335;0,035;0;0,001
"passar";0;0;0,001;0,048
"encontrar";0;0,853;0,072;0,044
"valor";0;0,057;0,013;0
"sempre";0,129;0,558;0,835;0,015
"desinformação";0;0;0;0,043
"aijes";0;0;0;0
"declaração";0,862;0,001;0,318;0,009
"único";0,409;0,77;0,001;0,012
"passivo";0;0;0;0,001
"diligência";0;0;0,003;0
"ro";0;0;0;0
"destacar";0,14;0,303;0,002;0,001
"dúvida";0,062;0;0,703;0,055
"carlos";0;0;0;0,03
"possuir";0,002;0,44;0;0,319
"maior";0,002;0;0;0,066
"diploma";0;0;0;0
"agr";0;0;0;0
"depoimento";0,204;0;0;0
"exigir";0;0;0;0
"número";0;0,078;0;0
"configurar";0;0;0;0
"vídeo";0;0;0,201;0
"demais";0,468;0,708;0,018;0,079
"antes";0,22;0,323;0;0
"sanção";0;0;0;0
"original";0,056;0;0;0
"oficial";0;0;0,04;0
"claro";0,081;0,068;0;0,001
"âmbito";0,116;0,115;0,647;0,742
"deixar";0,049;0,049;0;0,136
"alegado";0;0,058;0;0,868
"código";0;0;0,02;0
"constituir";0,71;0,418;0;0
"fático";0;0;0;0,828
"chegar";0,004;0,776;0;0
"assentar";0;0;0;0
"r";0,975;0;0;0,549
"contraditório";0;0;0;0
"república";0;0;0,456;0,295
"imprensa";0;0;0,314;0,088
"ii";0,001;0,286;0,015;0,776
"divulgação";0;0;0;0,021
"governo";0;0;0;0
"determinar";0;0;0,017;0
"juntar";0;0;0,046;0
"ideia";0;0;0,065;0,029
"específico";0;0;0,232;0,352
"tornar";0,044;0;0;0
"liberdade_de_expressão";0;0,003;0;0
"embora";0,003;0,644;0,01;0,667
"praticar";0,939;0;0;0
"reconhecer";0,483;0,204;0,095;0,039
"contrário";0,069;0,002;0,569;0
"configuração";0;0;0;0
"aí";0;0;0;0
"lei_complementar";0,909;0;0;0
"jornalístico";0;0,718;0;0,516
"edson_fachin";0;0,001;0,006;0,206
"último";0,527;0,795;0;0
"ocasião";0,788;0,031;0;0
"representação";0;0;0;0
"lula";0;0;0;0
"veicular";0,002;0;0;0,095
"turno";0;0;0;0
"comportamento";0;0;0;0
"oab";0,177;0,236;0,106;0,225
"réu";0;0,103;0;0
"proposta";0,074;0;0;0,018
"adversário";0;0;0,016;0,003
"página";0;0;0,254;0,001
"livre";0;0,027;0;0
"função";0,006;0,647;0;0
"via";0,777;0,141;0,212;0,946
"relatório";0;0,027;0;0
"acórdão";0;0;0;0
"necessidade";0;0;0,009;0,917
"curso";0;0,003;0;0,002
"repercussão";0,001;0,827;0;0
"aplicativo";0;0;0,001;0,205
"trecho";0;0;0,005;0
"promover";0,196;0;0;0
"mero";0,487;0,007;0;0
"garantia";0;0;0;0,036
"depois";0;0,001;0;0
"opinião";0;0;0,017;0,516
"responsável";0,223;0,64;0,694;0,23
"estratégia";0;0;0,001;0
"capaz";0,468;0,822;0;0
"fonte";0;0;0;0,002
"supremo_tribunal_federal";0,066;0;0;0,401
"luiz";0;0,068;0,014;0
"caráter";0,018;0,363;0;0,115
"votar";0;0,579;0;0
"vice";0,001;0,001;0;0
"luis_felipe_salomão";0,339;0;0,007;0
"mencionar";0,218;0,072;0,008;0,055
"órgão";0;0,106;0,003;0,003
"silva";0;0,922;0;0,517
"exemplo";0;0,001;0;0,012
"divulgar";0;0;0,023;0
"direto";0,009;0,433;0;0
"certo";0;0,131;0,027;0,001
"prazo";0;0;0,865;0,02
"manter";0,859;0;0,002;0,292
"extrair";0,854;0,202;0,781;0,391
"eleger";0,284;0;0,125;0
"corregedor";0;0;0;0,398
"barro";0;0,004;0;0
"filipe";0;0,001;0;0
"espécie";0,847;0,808;0;0
"condenação";0,01;0;0;0
"caber";0;0,002;0,05;0,686
"impor";0,642;0;0;0
"imagem";0;0;0;0,126
"grande";0;0;0,023;0
"tipo";0,124;0;0,06;0,336
"palavra";0,001;0,028;0,069;0,836
"luís_roberto_barroso";0,758;0;0,776;0
"limite";0;0;0;0
"apurar";0,26;0;0,052;0
"situação";0,029;0,192;0,001;0,551
"nada";0,689;0;0;0
"relativo";0;0,386;0,033;0,002
"ex";0;0,102;0;0
"valer";0,073;0,433;0,804;0,003
"terceiro";0,22;0,651;0,07;0,012
"mundo";0;0;0;0
"conter";0;0;0,849;0,488
"aplicação";0;0;0;0
"importante";0,311;0,023;0,254;0,023
"procedimento";0;0;0,965;0
"contratação";0,043;0,849;0,016;0,835
"acontecer";0;0;0;0
"veículo";0;0,101;0;0
"mostrar";0,422;0,28;0;0
"ministério";0,028;0,273;0;0
"informar";0,629;0,588;0;0
"envolver";0,047;0;0,001;0,903
"devido";0;0;0;0
"analisar";0,001;0;0,037;0,016
"afastar";0;0;0;0
"oportunidade";0,041;0;0,068;0
"eleitorado";0;0;0;0
"tutela";0;0,603;0;0,527
"afirmação";0;0;0,032;0
"presidência";0;0;0;0
"fossar";0,7;0,887;0;0
"natureza";0,001;0;0;0
"pouco";0;0,007;0;0
"improcedente";0;0;0;0,352
"antônio";0,61;0,893;0,55;0,883
"legítimo";0;0;0;0,147
"conferir";0,006;0,762;0;0,517
"reeleição";0;0;0,34;0,001
"declarar";0,011;0,027;0,517;0
"rejeitar";0;0;0,018;0,623
"impedir";0,455;0,056;0,016;0,561
"apontar";0;0,432;0,279;0,002
"gente";0;0;0;0
"notório";0,005;0;0;0
"agente";0;0,107;0;0
"acima";0,008;0,093;0,045;0,507
"né";0;0;0;0
"aplicar";0;0;0;0
"sociedade";0;0;0;0,011
"lisura";0,001;0;0;0
"início";0,073;0,01;0,682;0
"cpc";0;0;0;0
"ademais";0;0,014;0;0,927
"requerer";0;0;0,001;0,006
"adotar";0,01;0,188;0,033;0,029
"sp";0;0;0,002;0
"ressaltar";0,16;0,731;0,011;0,249
"pena";0,01;0,011;0,013;0,039
"mídia";0;0;0;0,295
"colocar";0;0,035;0;0
"coisa";0;0;0;0
"servidor";0;0,613;0;0,16
"requerimento";0;0;0,003;0
"chapa";0,01;0;0;0
"quantitativo";0,068;0;0;0
"prejuízo";0;0;0;0,288
"palácio";0;0;0;0
"formular";0;0;0,002;0,003
"usuário";0,214;0;0,176;0,004
"irregular";0,137;0,903;0;0
"internacional";0;0;0,227;0
"fernandes";0;0;0,004;0,693
"efetivo";0;0;0;0,01
"compreensão";0;0;0;0,233
"sim";0,004;0,158;0;0,012
"instituição";0;0;0,001;0,018
"entendimento";0;0;0;0,003
"perfil";0,002;0;0,035;0
"objectivo";0,976;0;0,284;0
"longo";0,829;0;0,734;0,002
"stf";0,081;0;0,431;0,195
"impresso";0;0,195;0;0
"doutor";0;0,002;0;0
"cidadão";0;0,002;0;0
"premissa";0,001;0,634;0;0,516
"pleno";0,001;0;0;0
"mês";0;0,571;0;0
"descrever";0,001;0,032;0,052;0,644
"cumprir";0,313;0,01;0,03;0,682
"assegurar";0,407;0,122;0,056;0,015
"argumento";0;0,045;0,024;0
"achar";0,012;0;0;0
"real";0,003;0;0,449;0,047
"prestar";0,756;0,002;0;0,03
"jorge_mussi";0,099;0;0;0
"impulsionamento";0,602;0,302;0,926;0,683
"alcance";0;0;0;0,038
"transmissão";0;0;0,806;0
"regra";0;0;0;0,164
"casa";0,004;0,002;0;0
"admitir";0;0,007;0,791;0
"receber";0;0;0;0
"estrangeiro";0;0;0,952;0
"diretamente";0,022;0;0,842;0
"crime";0,23;0;0;0,037
"vedar";0;0,011;0;0
"norma";0,066;0;0;0
"liminar";0;0,057;0;0
"busca";0,66;0;0,001;0,025
"seguir";0,001;0;0,01;0
"predeterminado";0,001;0,001;0;0
"popular";0;0,45;0,001;0
"favor";0,016;0,873;0,004;0,887
"efetivamente";0,019;0,014;0,408;0,474
"destinar";0,448;0,761;0;0,041
"ofício";0,021;0;0;0
"manifestar";0,619;0,658;0,534;0,515
"identificar";0;0,474;0;0,752
"armado";0;0;0;0
"transparência";0;0;0;0
"simples";0;0,023;0,04;0
"pensamento";0;0,11;0;0
"institucional";0;0;0;0,016
"bom";0,347;0,069;0;0
"alterar";0,151;0,001;0,887;0
"negativo";0,383;0,871;0,015;0,272
"inciso";0,19;0;0;0
"constatar";0,776;0,051;0,088;0,447
"consideração";0;0,034;0,016;0
"voltar";0;0,013;0;0,004
"qualitativo";0,074;0;0;0
"narrativa";0,013;0;0,002;0
"ganhar";0;0,054;0;0
"exatamente";0,006;0,097;0;0
"requerido";0;0,008;0;0
"ltda";0,915;0,181;0,242;0,672
"gerar";0,504;0;0;0,582
"examinar";0;0;0,001;0,678
"plataforma";0;0;0,051;0
"legislação";0,309;0;0;0
"indeferir";0;0;0;0
"estabelecer";0,376;0,053;0;0
"essencial";0,005;0;0;0
"comprovação";0,091;0;0;0
"agravo";0,656;0;0;0
"nacional";0;0;0,679;0,02
"quebra";0;0;0;0,02
"mínimo";0;0,003;0;0,891
"improcedência";0;0;0;0,318
"vargas";0,177;0,274;0,339;0,225
"judiciário";0,004;0,297;0,961;0,037
"verdadeiro";0,756;0;0,002;0,165
"sessão";0,012;0,226;0,063;0,841
"robusto";0;0;0;0
"evidenciar";0,382;0,651;0,002;0,162
"dispositivo";0,41;0,009;0;0
"violação";0;0;0;0,843
"usar";0;0,012;0;0,009
"torre";0;0;0;0
"eleito";0;0,25;0;0,05
"eduardo";0;0;0;0
"constar";0,123;0;0,125;0
"registrar";0,311;0,86;0,992;0,203
"lá";0;0;0;0
"iv";0,005;0,681;0,008;0
"hacker";0;0;0;0
"existir";0,151;0,783;0;0,02
"controvérsia";0;0;0;0,013
"competência";0,879;0,477;0;0
"campanha_eleitoral";0,021;0,563;0,011;0
"aberto";0;0,007;0,1;0,719
"tv";0;0;0;0
"policial";0,149;0;0;0
"manipulação";0;0;0;0
"pensar";0;0,002;0,034;0
"nota";0,001;0;0,001;0,024
"minuta";0;0;0;0
"buscar";0,067;0;0,324;0,231
"responsabilidade";0,26;0,013;0,908;0,226
"requisito";0,886;0;0;0
"posição";0;0,281;0,009;0
"news";0;0;0,003;0
"magistrado";0;0;0,086;0
"hora";0;0;0,043;0,126
"deferir";0;0;0,001;0
"atividade";0;0,227;0;0,612
"resposta";0,075;0,089;0,038;0,038
"participar";0;0,623;0;0
"lugar";0,014;0;0,751;0,016
"avaliar";0,023;0,434;0,019;0
"apto";0,489;0,028;0;0
"apresentado";0,001;0,402;0,473;0
"transcrever";0,073;0,118;0,026;0,129
"relatoria";0,001;0;0;0
"iii";0,918;0,41;0,663;0,735
"formação";0;0;0;0,107
"conexão";0;0;0;0
"acusação";0;0,12;0,411;0,001
"penal";0;0;0;0,348
"crítica";0;0;0;0,879
"comissão";0;0;0;0
"prestação";0;0;0;0,78
"precisar";0,008;0,014;0;0,246
"justificar";0;0,005;0;0,452
"entrevista";0;0;0,313;0
"anderson";0;0;0;0
"vontade";0;0,091;0,318;0
"sequer";0;0,569;0,335;0
"objetivo";0;0,051;0;0,389
"repetir";0,009;0,01;0;0
"relatar";0,947;0,01;0;0,525
"audiência";0,024;0;0;0
"apoiador";0;0;0,029;0,016
"visar";0,863;0,676;0;0,001
"sustentar";0,031;0,005;0,291;0
"ordem";0,113;0,33;0,036;0,418
"maria";0,199;0;0,003;0,653
"indeferimento";0;0;0;0
"grau";0;0;0,001;0
"instrutor";0,066;0,098;0,011;0,042
"fundamental";0,212;0,003;0;0
"especialmente";0,409;0;0;0,047
"fase";0;0;0;0
"conduzir";0;0,022;0,386;0,068
"ministério_público_eleitoral";0,195;0;0,603;0,015
"luz";0;0;0;0
"filho";0,006;0;0,213;0
"autoria";0;0;0,047;0,002
"alvorada";0;0;0;0
"tomar";0;0,002;0,001;0,047
"solução";0;0,002;0,861;0
"estrutura";0;0;0,738;0,165
"banho";0,382;0;0,006;0
"apresentação";0,443;0;0,907;0,003
"invasão";0,733;0,314;0,001;0
"folha";0,007;0,061;0,217;0,885
"fake";0;0;0,003;0
"envio";0,588;0,016;0;0,031
"demonstração";0;0,002;0;0,467
"realidade";0,006;0,106;0,008;0,028
"prefeito";0;0,002;0,68;0
"ordinário";0;0;0;0
"especificamente";0,7;0,006;0,005;0,467
"doação";0,028;0,002;0,015;0,003
"sede";0,001;0;0,721;0,571
"jurisdicional";0;0;0;0,525
"imputação";0,001;0,436;0,005;0,932
"comprometer";0;0,798;0;0
"citar";0,023;0,082;0,04;0
"canal";0;0;0;0
"beneficiar";0;0,534;0,002;0
"benedito";0,003;0,019;0,926;0,499
"atuar";0,001;0;0,002;0,12
"reiterar";0,161;0,005;0,059;0,007
"espaço";0;0;0,003;0,616
"discutir";0,012;0,234;0,694;0,254
"cópia";0,003;0;0;0
"caracterização";0;0;0;0
"principal";0,021;0;0,001;0,161
"plenário";0;0;0,011;0,001
"marketing";0,001;0,926;0,056;0,095
"igualmente";0,026;0,123;0;0,014
"cerceamento";0;0;0;0,002
"apoio";0;0;0,061;0,017
"tecnologia";0;0,002;0;0,001
"ferramenta";0;0;0;0,692
"consequência";0,006;0;0,002;0
"autorizar";0;0,021;0;0,063
"respectivo";0,004;0;0,842;0,409
"programa";0;0;0;0
"devidamente";0;0,148;0,035;0
"cenário";0,984;0;0,001;0,191
"sérgio";0,092;0;0,817;0,019
"parlamentar";0;0,074;0;0,064
"papel";0,006;0,07;0;0,001
"obter";0,001;0,107;0,947;0
"conceder";0,058;0,009;0,124;0,001
"am4";0,324;0,181;0,242;0,168
"servir";0,107;0,195;0,044;0,214
"reportagem";0,573;0,002;0,959;0,008
"oitiva";0;0;0;0
"hoje";0;0,017;0;0
"gonçalves";0,002;0,009;0,102;0,46
"definir";0,028;0,004;0,241;0,1
"criar";0;0;0,546;0
"pt";0,001;0,003;0,004;0,045
"executivo";0;0;0;0
"conceito";0;0;0,001;0
"regimental";0,01;0;0;0
"litispendência";0;0;0;0,086
"exercer";0,443;0,351;0,002;0
"decreto";0;0,002;0,04;0,001
"anterior";0,504;0,353;0,246;0,006
"publicar";0,057;0;0,001;0,921
"potencial";0,002;0,465;0;0
"og";0;0;0,001;0,524
"mg";0;0;0;0
"igualdade";0;0,001;0;0
"fixar";0;0;0;0,61
"citado";0,166;0,029;0,005;0,242
"veiculação";0;0;0;0,393
"providência";0;0,01;0,747;0
"privado";0,001;0,577;0,011;0
"passado";0;0;0;0
"compor";0;0,03;0;0,008
"beneficiário";0,006;0,001;0;0
"técnica";0,511;0,053;0,004;0
"reforçar";0,069;0;0;0,166
"pretender";0;0,374;0,006;0,009
"emissor";0;0;0;0,882
"discussão";0,003;0,135;0,373;0,408
"critério";0,001;0;0,001;0
"tão";0,003;0,802;0,707;0,009
"maneira";0,063;0,001;0,439;0,047
"ler";0,011;0,564;0;0
"fux";0;0;0;0
"evidente";0,016;0;0,004;0,874
"equilíbrio";0;0;0;0
"empresário";0,058;0,187;0,086;0,064
"alegar";0,023;0,592;0,022;0,352
"propósito";0;0;0;0
"nunes";0,005;0;0;0
"inverídico";0;0;0;0,277
"fernando";0;0;0,001;0,562
"xiv";0;0;0;0
"item";0;0,281;0,096;0
"haddad";0;0;0,039;0,002
"ensejar";0,115;0;0;0
"econômico";0;0,28;0;0
"diálogo";0;0;0;0,002
"dano";0,688;0,178;0;0
"administrativo";0;0,008;0,003;0
"parâmetro";0,064;0;0;0
"narrado";0;0;0;0,281
"imediato";0;0,015;0,024;0,114
"falta";0;0;0,02;0,056
"diferente";0,221;0,241;0,137;0
"ações_de_investigação_judicial_eleitoral";0;0;0;0,871
"tarcisio_vieira_de_carvalho_neto";0;0;0,007;0,109
"seguro";0,031;0,011;0;0,001
"restar";0,657;0,163;0,575;0,015
"posto";0;0,001;0,002;0,247
"jornal";0;0,001;0,801;0,326
"evidência";0,599;0,113;0,003;0,1
"corroborar";0;0,051;0,6;0
"preciso";0,008;0,014;0,932;0,65
"instância";0;0;0,861;0,649
"inserir";0,425;0;0;0
"gustavo";0;0;0;0
"dirigir";0;0;0,238;0,001
"transmitir";0;0;0,086;0
"tampouco";0,027;0,963;0,027;0,737
"multa";0,085;0,336;0;0
"motivo";0;0,006;0,008;0,058
"entanto";0,024;0,729;0,401;0,042
"dispor";0,168;0,028;0,016;0,003
"decidir";0;0,005;0,029;0,731
"controlo";0;0,083;0;0,295
"arts";0,006;0;0;0
"marques";0;0;0,129;0,27
"constante";0;0,012;0,001;0
"barroso";0;0;0;0
"unido";0;0;0,805;0
"narrar";0;0,043;0,119;0,511
"luciano_hang";0;0,13;0,353;0,043
"fornecer";0,012;0,591;0;0,015
"fiscal";0;0,009;0;0
"exposição";0;0;0;0,009
"conseguir";0;0,018;0;0
"alto";0;0,005;0,006;0
"alteração";0,171;0,358;0,917;0,02
"técnico";0;0,006;0;0
"ribeiro";0,019;0,156;0,494;0
"requisição";0;0,001;0,025;0
"quase";0;0;0;0
"publicação";0,1;0;0;0,118
"proteger";0,001;0,001;0;0
"presença";0,137;0;0,128;0,128
"negar";0,108;0,032;0,885;0,744
"josé";0,001;0,682;0,11;0,009
"isonomia";0;0,684;0;0
"iniciativa";0;0,071;0,735;0
"inequívoco";0;0,257;0,009;0
"dito";0;0;0,001;0,004
"continuar";0;0,053;0;0,736
"bancário";0;0;0;0
"prerrogativa";0,022;0,605;0;0
"esclarecimento";0,003;0,032;0;0
"campo";0,473;0,031;0,404;0,025
"união";0,933;0,023;0,035;0,749
"trabalhar";0;0,644;0;0
"risco";0,055;0;0,128;0,002
"logo";0,001;0,12;0,253;0,255
"influenciar";0;0,235;0;0
"incluir";0,068;0;0,003;0,926
"fator";0,919;0,396;0;0
"ódio";0;0;0,082;0
"xvi";0;0;0;0
"rosa";0,329;0;0,069;0,001
"indireto";0,035;0,007;0;0
"imputado";0,676;0;0;0
"atribuir";0,045;0,703;0,067;0,366
"assumir";0;0,001;0,065;0,039
"julgador";0;0;0;0,241
"expressão";0,001;0,577;0;0
"data";0,141;0,025;0,007;0,147
"compartilhamento";0;0;0;0
"postagem";0,004;0;0,023;0,001
"instantâneo";0,003;0,508;0,001;0
"celeridade";0;0;0;0
"causar";0,05;0,044;0;0
"rj";0;0;0;0
"questionar";0,385;0,56;0,002;0,002
"passo";0;0,039;0,027;0,155
"organização";0,001;0;0,174;0
"obstante";0;0,018;0,014;0,973
"ementa";0,615;0;0;0
"começar";0;0,002;0;0
"coletivo";0,003;0;0,012;0,56
"ambiente";0;0;0,187;0,693
"algo";0;0,938;0;0
